sport,model_family,target_label,factor_key,plot_type,x_value,y_value,fitted_effect,lower_ci,upper_ci,baseline_value,season_window
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-170.28985507246375,-43.18840579710145,0.013487015638549371,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-163.04347826086956,-43.18840579710145,0.029290724118212735,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-155.79710144927537,-43.18840579710145,0.045048607531376086,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-148.55072463768116,-43.18840579710145,0.06075445299004038,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-141.30434782608694,-43.18840579710145,0.07640089852524426,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-134.05797101449275,-43.18840579710145,0.09197916208605791,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-126.81159420289855,-43.18840579710145,0.10747869268278329,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-119.56521739130434,-43.18840579710145,0.12288671740517979,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-112.31884057971013,-43.18840579710145,0.13818764800064356,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-105.07246376811594,-43.18840579710145,0.1533622964898497,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-97.82608695652175,-43.18840579710145,0.1683868292096971,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-90.57971014492753,-43.18840579710145,0.18323136044619343,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-83.33333333333331,-43.18840579710145,0.19785804780603333,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-76.08695652173913,-43.18840579710145,0.21221849946887547,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-68.84057971014494,-43.18840579710145,0.22625023937635763,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-61.59420289855072,-43.18840579710145,0.2398719116529278,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-54.3478260869565,-43.18840579710145,0.252976880604242,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-47.10144927536231,-43.18840579710145,0.26542501075736236,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-39.855072463768124,-43.18840579710145,0.27703297357638784,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-32.60869565217391,-43.18840579710145,0.2875650629532023,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-25.36231884057969,-43.18840579710145,0.29673062246389315,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-18.1159420289855,-43.18840579710145,0.30420487878060554,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-10.869565217391312,-43.18840579710145,0.3097356350247906,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,-3.6231884057970944,-43.18840579710145,0.31413756295025164,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,3.623188405797123,-43.18840579710145,0.339204122536064,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,10.869565217391312,-43.18840579710145,0.3382218362464091,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,18.1159420289855,-43.18840579710145,0.33339594226343894,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,25.362318840579746,-43.18840579710145,0.32622475481422974,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,32.608695652173935,-43.18840579710145,0.3172277391776329,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,39.855072463768124,-43.18840579710145,0.30680295374496175,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,47.10144927536231,-43.18840579710145,0.29526929625059817,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,54.3478260869565,-43.18840579710145,0.28287566453137325,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,61.59420289855075,-43.18840579710145,0.26981237472872666,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,68.84057971014494,-43.18840579710145,0.25622360913145364,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,76.08695652173913,-43.18840579710145,0.24221850916971754,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,83.33333333333337,-43.18840579710145,0.22788006515361534,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,90.57971014492756,-43.18840579710145,0.21327186468583603,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,97.82608695652175,-43.18840579710145,0.1984430818529508,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,105.07246376811594,-43.18840579710145,0.18343212555519653,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,112.31884057971013,-43.18840579710145,0.1682693018405809,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,119.56521739130437,-43.18840579710145,0.15297876282071565,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,126.81159420289856,-43.18840579710145,0.1375799421437912,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,134.05797101449275,-43.18840579710145,0.12208862061925052,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,141.304347826087,-43.18840579710145,0.10651772421903116,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,148.55072463768118,-43.18840579710145,0.09087792713134663,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,155.79710144927537,-43.18840579710145,0.075178111686731,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,163.04347826086956,-43.18840579710145,0.059425722307498055,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,170.28985507246375,-43.18840579710145,0.04362704030127115,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,177.536231884058,-43.18840579710145,0.027787399012775327,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,184.7826086956522,-43.18840579710145,0.01191135364911694,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,192.02898550724638,-43.18840579710145,-0.003997183631888612,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,199.27536231884062,-43.18840579710145,-0.019934835471205503,,,,2014-2024
NBA,LogisticRegression,Expected FG,spatial,spatial_surface,206.5217391304348,-43.18840579710145,-0.03589867195507693,,,,2014-2024
