PLAYER_NAME,total_attempts,total_makes,total_poe,total_xp,total_actual_points,avg_xp_prob,fg_pct,poe_per_100,shooting_skill,expected_fg_pct,fg_residual,fg_residual_pct,salary_millions,POE_per_million,points_per_million,cost_per_POE
Austin Reaves,433,220,60.51316303386919,449.4868369661308,510,0.4400864892182105,0.5080831408775982,13.975326335766558,0.0679966516593877,0.4400864892182105,0.0679966516593877,6.799665165938773,13.937574,4.341728555763664,36.591733970345196,0.230323012403089
Ayo Dosunmu,518,268,45.326053662533816,582.6739463374662,628,0.4900064403496482,0.5173745173745173,8.750203409755564,0.0273680770248691,0.4900064403496482,0.0273680770248691,2.7368077024869155,7.518518,6.028588833934269,83.52709935654872,0.16587629834217738
Bam Adebayo,705,312,-53.34624745025278,755.3462474502528,702,0.4748037401352155,0.4425531914893617,-7.566843609964933,-0.0322505486458538,0.4748037401352155,-0.0322505486458538,-3.225054864585386,37.09662,-1.4380352563185752,18.92355691704527,37.09662
Ben Sheppard,252,101,-18.402005659543896,275.4020056595439,257,0.4315268173306693,0.4007936507936508,-7.302383198231705,-0.0307331665370185,0.4315268173306693,-0.0307331665370185,-3.073316653701852,2.79072,-6.593999276009022,92.09092993922715,2.79072
Bennedict Mathurin,381,162,-11.089154069258658,394.08915406925865,383,0.441323734693187,0.4251968503937008,-2.9105391257896738,-0.0161268842994862,0.441323734693187,-0.0161268842994862,-1.6126884299486222,9.187573,-1.2069731657379656,41.68674360464945,9.187573
Bilal Coulibaly,269,106,-76.57636727903126,317.5763672790313,241,0.513537122448077,0.3940520446096654,-28.467051033097125,-0.1194850778384116,0.513537122448077,-0.1194850778384116,-11.948507783841162,7.2756,-10.525093089096606,33.124415855736984,7.2756
Bobby Portis,559,270,80.08150381120525,556.9184961887947,637,0.4270043740322661,0.4830053667262969,14.325850413453534,0.0560009926940308,0.4270043740322661,0.0560009926940308,5.60009926940308,13.445754,5.955895356348573,47.375550675700296,0.16790086799192486
Bones Hyland,266,124,23.93448041626466,287.06551958373535,311,0.4276360924340274,0.4661654135338345,8.997924968520548,0.0385293210998071,0.4276360924340274,0.0385293210998071,3.852932109980717,2.296274,10.423181387005497,135.43679891859597,0.0959399978634827
Brandin Podziemski,522,234,25.865901233824403,533.1340987661756,559,0.4263984182819368,0.4482758620689655,4.955153493069809,0.0218774437870287,0.4263984182819368,0.0218774437870287,2.1877443787028716,3.68796,7.013606772802417,151.57431208581437,0.1425799923482781
Brandon Ingram,908,430,48.662061211242325,907.3379387887576,956,0.4469550499191583,0.473568281938326,5.359257842647834,0.0266132320191676,0.4469550499191583,0.0266132320191676,2.6613232019167654,38.095238,1.2773791099885587,25.095000062737498,0.7828529464592205
Brandon Miller,636,270,-16.18842032788902,669.188420327889,653,0.4392043510946206,0.4245283018867924,-2.545349108158651,-0.0146760492078281,0.4392043510946206,-0.0146760492078281,-1.4676049207828112,11.9688,-1.3525516616443602,54.55851881558719,11.9688
Brandon Williams,444,207,-34.06376156010297,473.063761560103,439,0.4864443901441983,0.4662162162162162,-7.67201836939256,-0.020228173927982,0.4864443901441983,-0.020228173927982,-2.02281739279821,2.270735,-15.001205142873548,193.3294726156949,2.270735
Brice Sensabaugh,513,231,18.250595680617792,539.7494043193822,558,0.4279461269207266,0.4502923976608187,3.557620990373839,0.022346270740092,0.4279461269207266,0.022346270740092,2.2346270740092047,2.69376,6.775137978371418,207.1454027084818,0.14759847005217394
Brook Lopez,288,111,-10.68033851895549,301.68033851895547,291,0.4013367877066963,0.3854166666666667,-3.708450874637323,-0.0159201210400296,0.4013367877066963,-0.0159201210400296,-1.5920121040029656,8.75,-1.220610116452056,33.25714285714286,8.75
Bruce Brown,344,159,-20.53042062657256,369.53042062657255,349,0.4896574239690338,0.4622093023255814,-5.9681455309803955,-0.0274481216434524,0.4896574239690338,-0.0274481216434524,-2.744812164345245,2.296274,-8.940753858891648,151.98534669643084,2.296274
Bub Carrington,465,187,15.672425957464482,468.3275740425355,484,0.3969347454076699,0.4021505376344086,3.370414184400964,0.0052157922267387,0.3969347454076699,0.0052157922267387,0.5215792226738736,4.6776,3.35052718433908,103.471865914144,0.29846049441836076
