player,season_window,attempts,mean_sdi,actual_rate,expected_rate,residual,sport,position_group
Jonas Siegenthaler,2014-2024,560,32.205519028873915,0.019642857142857142,0.024431701339285707,-0.004788844196428565,NHL,D
Nicholas Paul,2014-2024,559,21.8755598285519,0.1001788908765653,0.10007278277280858,0.00010610810375671909,NHL,W
Brandon Duhaime,2014-2024,559,24.288326156663242,0.059033989266547404,0.08161422960644006,-0.022580240339892657,NHL,W
Benoit Pouliot,2014-2024,558,21.98199642806638,0.0967741935483871,0.08219229270609316,0.014581900842293938,NHL,W
Chad Ruhwedel,2014-2024,558,31.070007601668117,0.023297491039426525,0.021636076362007158,0.001661414677419367,NHL,D
Brad Richards,2014-2024,558,26.597723085310825,0.04659498207885305,0.05418596215053762,-0.007590980071684572,NHL,C
Matt Moulson,2014-2024,558,21.74617504632113,0.06272401433691756,0.08860291313620071,-0.02587889879928315,NHL,W
Sonny Milano,2014-2024,554,23.45697963663752,0.11191335740072202,0.08124900938628156,0.030664348014440457,NHL,W
Cody Glass,2014-2024,554,23.401991242680737,0.0631768953068592,0.08215953900722021,-0.018982643700361013,NHL,C
Aliaksei Protas,2014-2024,552,23.599351424778835,0.07971014492753623,0.08878330929347825,-0.009073164365942021,NHL,C
Alexandre Carrier,2014-2024,550,28.320946383437374,0.02727272727272727,0.03766216292727272,-0.010389435654545452,NHL,D
Oscar Lindberg,2014-2024,546,25.265055245816704,0.07692307692307693,0.06509386628205127,0.011829210641025656,NHL,C
Nicolas Aube-Kubel,2014-2024,545,23.93896341364443,0.062385321100917435,0.06900382933944954,-0.006618508238532106,NHL,W
Colin Blackwell,2014-2024,544,25.247368092769662,0.07904411764705882,0.07622073632352941,0.0028233813235294114,NHL,C
PA Parenteau,2014-2024,544,23.548286294426113,0.07720588235294118,0.07982546740808821,-0.0026195850551470334,NHL,W
Chris Stewart,2014-2024,542,23.836428251938354,0.08302583025830258,0.08331107409594095,-0.0002852438376383659,NHL,W
Daniel Winnik,2014-2024,542,24.347911742109417,0.06088560885608856,0.07087530300738006,-0.009989694151291494,NHL,C
Steven Lorentz,2014-2024,541,23.59114781892504,0.05730129390018484,0.08516928859519406,-0.027867994695009217,NHL,C
Will Butcher,2014-2024,539,27.827094468334344,0.03153988868274583,0.032115041688311675,-0.0005751530055658483,NHL,D
Alexandre Texier,2014-2024,538,25.360499814858283,0.07806691449814127,0.06716003916356877,0.010906875334572491,NHL,C
Jeremy Lauzon,2014-2024,536,29.98693648135192,0.026119402985074626,0.02996032957089551,-0.003840926585820883,NHL,D
Travis Dermott,2014-2024,534,29.18203965867422,0.033707865168539325,0.031417943782771525,0.0022899213857678,NHL,D
Emil Bemstrom,2014-2024,532,25.116697519900477,0.06390977443609022,0.06871092317669171,-0.004801148740601488,NHL,C
Juraj Slafkovsky,2014-2024,531,22.66782659459892,0.08097928436911488,0.09326856284369113,-0.012289278474576254,NHL,W
Karl Alzner,2014-2024,529,30.789522985931633,0.02835538752362949,0.025304507882797717,0.0030508796408317725,NHL,D
Owen Power,2014-2024,528,27.68181276168418,0.03598484848484849,0.044046081231060595,-0.008061232746212108,NHL,D
Sam Carrick,2014-2024,528,25.31438486512012,0.06439393939393939,0.07342496695075758,-0.009031027556818186,NHL,C
Jujhar Khaira,2014-2024,528,22.78380993162295,0.06439393939393939,0.0790592005681818,-0.014665261174242411,NHL,W
Alex Wennberg,2014-2024,526,21.76305748771049,0.10456273764258556,0.10329319737642585,0.001269540266159705,NHL,C
Josh Archibald,2014-2024,524,24.03954192936006,0.08778625954198473,0.08836184740458014,-0.0005755878625954142,NHL,W
Mark Streit,2014-2024,523,27.90754819773408,0.040152963671128104,0.04210075544933078,-0.0019477917782026732,NHL,D
