sport,model_family,target_label,factor_key,plot_type,x_value,fitted_effect,lower_ci,upper_ci,baseline_value,season_window
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.3366834170854274,-0.017515710444161014,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.361809045226131,-0.01784495312168263,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.3869346733668344,-0.018174195799204134,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.412060301507538,-0.01850343847672604,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.4371859296482414,-0.018832681154248524,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.462311557788945,-0.019161923831769758,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.4874371859296485,-0.019491166509291436,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.512562814070352,-0.01982040918681371,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.5376884422110555,-0.020149651864335334,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.562814070351759,-0.020478894541857254,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.5879396984924625,-0.02080813721937901,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.613065326633166,-0.021137379896900805,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.6381909547738696,-0.021466622574422948,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.663316582914573,-0.021795865251944536,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.6884422110552766,-0.022125107929466283,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.71356783919598,-0.022454350606988267,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.7386934673366836,-0.02278359328450995,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.763819095477387,-0.023112835962031678,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.7889447236180906,-0.023442078639553287,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.814070351758794,-0.02377132131707525,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.8391959798994977,-0.024100563994597052,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.864321608040201,-0.024429806672118835,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.8894472361809047,-0.024759049349640527,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.9145728643216082,-0.025088292027162725,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.9396984924623117,-0.025417534704684056,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.9648241206030153,-0.02574677738220647,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,3.9899497487437188,-0.026076020059728217,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,4.015075376884422,-0.026405262737249916,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,4.040201005025126,-0.026734505414771497,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,4.06532663316583,-0.0270637480922933,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,4.090452261306533,-0.027392990769815422,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,4.115577889447236,-0.027722233447337177,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,4.14070351758794,-0.02805147612485893,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,4.165829145728644,-0.028380718802380838,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,4.190954773869347,-0.028709961479902343,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,4.21608040201005,-0.029039204157424548,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,4.241206030150754,-0.029368446834946323,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,4.266331658291458,-0.02969768951246828,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,4.291457286432161,-0.030026932189989853,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,4.316582914572864,-0.030356174867511642,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,4.341708542713568,-0.030685417545033646,,,2.0,2014-2024
NBA,LogisticGAM,Expected FG,period,continuous_pdp,4.366834170854272,-0.031014660222554998,,,2.0,2014-2024
