player,PLAYER_ID,role,cluster_id,cluster_confidence,archetype,avg_distance,avg_xFG,avg_sdi,actual_fg_pct,pullup_rate,usage_pct,attempts_per_game,total_attempts,games_played,pct_rim,pct_midrange,pct_3pt,pct_corner_3,distance_std,distance_iqr,distance_entropy,layup_rate,dunk_rate,hook_rate,floater_rate
Cameron Johnson,1629661,Wing,Wing-2,0.9999970648599007,Wing - Role Player (Mixed),15.541353383458647,0.4585491671092869,0.44550328971711417,0.4699248120300752,0.6729323308270677,0.14137532715569073,8.580645161290322,266,31,0.368421052631579,0.12406015037593984,0.5075187969924811,0.16165413533834586,10.416250930371262,22.0,1.4842483394405566,0.2706766917293233,0.05263157894736842,0.0037593984962406013,0.04887218045112782
Jordan Poole,1629673,Guard,Guard-2,1.0,Guard - Perimeter-Focused (High Usage),18.115384615384617,0.4176537068147911,0.5100793548025211,0.3698224852071006,0.7514792899408284,0.24045862190397935,12.071428571428571,338,28,0.3254437869822485,0.05029585798816568,0.6242603550295858,0.05621301775147929,10.795165969479365,21.0,1.3566821968861493,0.24260355029585798,0.0029585798816568047,0.0029585798816568047,0.07396449704142012
Neemias Queta,1629674,Big,Big-0,1.0,Big - Paint-Dominant (Low Usage),3.3575757575757574,0.6230983847566371,0.24832546816472814,0.6393939393939394,0.15151515151515152,0.1459937740960717,6.470588235294118,330,51,0.9575757575757576,0.02727272727272727,0.015151515151515152,0.0030303030303030303,4.286759873681762,3.75,0.9212884909861008,0.4818181818181818,0.2636363636363636,0.1,0.11818181818181818
Naz Reid,1629675,Wing,Wing-1,0.9999999256189037,Wing - Role Player (Mixed) (Low Usage),16.0755905511811,0.43210662224854096,0.4738677016262716,0.4692913385826772,0.7086614173228346,0.21103862266271584,11.339285714285714,635,56,0.40472440944881893,0.04251968503937008,0.5511811023622047,0.1858267716535433,10.160880297126276,19.0,1.4959552107170644,0.17165354330708663,0.026771653543307086,0.08661417322834646,0.12755905511811025
Dean Wade,1629731,Wing,Wing-1,0.9999999999999996,Wing - Role Player (Mixed) (Low Usage),18.65686274509804,0.4354431880893048,0.4890293268704184,0.4166666666666667,0.7843137254901961,0.09647259435566133,4.857142857142857,204,42,0.23529411764705882,0.029411764705882353,0.7352941176470588,0.2892156862745098,9.821054188837524,9.5,1.1794418610369861,0.16666666666666666,0.04411764705882353,0.004901960784313725,0.00980392156862745
Javonte Green,1629750,Wing,Wing-1,0.5998513941882603,Wing - Role Player (Mixed) (Low Usage),15.485507246376812,0.4699437544695934,0.439775926317718,0.44565217391304346,0.6340579710144928,0.14289917741029,5.3076923076923075,276,52,0.39855072463768115,0.036231884057971016,0.5652173913043478,0.2210144927536232,10.976825510466131,22.0,1.4253587488815036,0.2753623188405797,0.08695652173913043,0.0036231884057971015,0.05434782608695652
Anthony Edwards,1630162,Wing,Wing-2,0.9130762596764073,Wing - Role Player (Mixed),15.03936170212766,0.4502542708593471,0.49793190745041593,0.4925531914893617,0.7340425531914894,0.3040770786103793,20.434782608695652,940,46,0.4053191489361702,0.18404255319148935,0.4106382978723404,0.0425531914893617,9.951508820960484,21.0,1.5476574577455364,0.21595744680851064,0.04468085106382979,0.00425531914893617,0.07659574468085106
LaMelo Ball,1630163,Wing,Wing-0,0.9754819401387443,Wing - Mid-Range Specialist (High Usage),17.61649214659686,0.41557904463212064,0.4795419011710533,0.4005235602094241,0.8206806282722513,0.3072269986227921,16.977777777777778,764,45,0.3756544502617801,0.06544502617801047,0.5589005235602094,0.07722513089005235,10.555764185252984,19.25,1.531937438537165,0.16753926701570682,0.006544502617801047,0.005235602094240838,0.193717277486911
Deni Avdija,1630166,Wing,Wing-2,0.9704494522823819,Wing - Role Player (Mixed),12.665359477124182,0.468297803129164,0.4318609865272581,0.4627450980392157,0.5790849673202615,0.2835804657849947,16.630434782608695,765,46,0.5660130718954248,0.048366013071895426,0.38562091503267976,0.043137254901960784,10.774845392298536,23.0,1.4707529933631314,0.3843137254901961,0.023529411764705882,0.009150326797385621,0.09542483660130718
Onyeka Okongwu,1630168,Wing,Wing-2,0.9951899111622439,Wing - Role Player (Mixed),13.230645161290322,0.47184310929019413,0.3945541518983012,0.4838709677419355,0.5709677419354838,0.19720518121730413,12.4,620,50,0.5516129032258064,0.00967741935483871,0.43870967741935485,0.11935483870967742,10.508402495525822,22.0,1.463516245496466,0.23548387096774193,0.06774193548387097,0.12258064516129032,0.11612903225806452
Devin Vassell,1630170,Guard,Guard-1,1.0,Guard - Perimeter-Focused,18.546938775510203,0.4158081687164847,0.5075743471436764,0.42244897959183675,0.8979591836734694,0.1835754290161318,11.951219512195122,490,41,0.22040816326530613,0.22653061224489796,0.5530612244897959,0.15102040816326529,8.016269296363914,12.0,1.4101548830578507,0.07551020408163266,0.024489795918367346,0.0,0.02857142857142857
Isaac Okoro,1630171,Wing,Wing-1,0.9999999757007932,Wing - Role Player (Mixed) (Low Usage),11.940993788819876,0.4980431670884775,0.39473255024187726,0.4658385093167702,0.5093167701863354,0.13539482335896577,7.0,322,46,0.5372670807453416,0.003105590062111801,0.45962732919254656,0.27329192546583847,11.134112898535944,22.0,1.346539786648982,0.4192546583850932,0.034161490683229816,0.037267080745341616,0.049689440993788817
Patrick Williams,1630172,Wing,Wing-2,0.9998688621522652,Wing - Role Player (Mixed),15.969418960244647,0.44356588080034953,0.47731762467213806,0.3853211009174312,0.7125382262996942,0.16214025137952176,6.411764705882353,327,51,0.41590214067278286,0.045871559633027525,0.5382262996941897,0.09785932721712538,10.746620839934206,22.0,1.407768286111678,0.22629969418960244,0.03363914373088685,0.027522935779816515,0.05198776758409786
Precious Achiuwa,1630173,Big,Big-2,1.0,Big - Paint-Dominant (Low Usage),7.430555555555555,0.5392096150719179,0.3305518931680946,0.5,0.3229166666666667,0.14988807773379262,6.127659574468085,288,47,0.7777777777777778,0.034722222222222224,0.1875,0.09027777777777778,8.79590717126687,6.25,1.3036685922439273,0.5104166666666666,0.125,0.041666666666666664,0.09375
Aaron Nesmith,1630174,Wing,Wing-2,0.9898082212632568,Wing - Role Player (Mixed),16.87837837837838,0.43214261778115,0.4859127792412781,0.3891891891891892,0.7486486486486487,0.1867938877892294,11.5625,370,32,0.34864864864864864,0.0972972972972973,0.5540540540540541,0.14594594594594595,10.019429231890637,19.0,1.4643528411640068,0.21891891891891893,0.032432432432432434,0.0,0.07297297297297298
Cole Anthony,1630175,Wing,Wing-2,0.9997495937228248,Wing - Role Player (Mixed),13.480519480519481,0.4397351684409341,0.47303548720771865,0.42424242424242425,0.7272727272727273,0.24470788365984114,7.21875,231,32,0.5411255411255411,0.1471861471861472,0.3116883116883117,0.0735930735930736,9.30069243276901,17.5,1.6182387451336717,0.22510822510822512,0.008658008658008658,0.03896103896103896,0.16883116883116883
Tyrese Maxey,1630178,Wing,Wing-2,0.9991940735952439,Wing - Role Player (Mixed),14.538048343777977,0.4498968291891725,0.46865171486319934,0.4691136974037601,0.6866606982990152,0.28359686376729787,21.48076923076923,1117,52,0.4717994628469113,0.11638316920322292,0.41181736794986573,0.03401969561324977,10.94682622641615,23.0,1.5280256681628615,0.2873769024171889,0.021486123545210387,0.0026857654431512983,0.1396598030438675
Saddiq Bey,1630180,Wing,Wing-2,0.990391469347603,Wing - Role Player (Mixed),13.056089743589743,0.4793868993041794,0.4371727096316738,0.44551282051282054,0.6153846153846154,0.20422499358595378,12.73469387755102,624,49,0.5096153846153846,0.0625,0.4278846153846154,0.15224358974358976,10.492299160226784,22.0,1.5096331029055456,0.3060897435897436,0.057692307692307696,0.017628205128205128,0.04807692307692308
Jaden McDaniels,1630183,Wing,Wing-2,0.9999999638167691,Wing - Role Player (Mixed),11.68135593220339,0.49279541150545786,0.418009228400856,0.5186440677966102,0.6559322033898305,0.17805844124631076,10.925925925925926,590,54,0.5745762711864406,0.1152542372881356,0.3101694915254237,0.13050847457627118,9.536463389630132,20.0,1.5936676245514427,0.23898305084745763,0.09491525423728814,0.003389830508474576,0.13898305084745763
Jalen Smith,1630188,Wing,Wing-1,0.9999937349942787,Wing - Role Player (Mixed) (Low Usage),14.46951219512195,0.48355219876536515,0.4132436464778891,0.4878048780487805,0.5823170731707317,0.18414920129022347,7.627906976744186,328,43,0.4451219512195122,0.021341463414634148,0.5335365853658537,0.13109756097560976,11.492012266730686,24.0,1.2805419446935449,0.29878048780487804,0.07317073170731707,0.042682926829268296,0.021341463414634148
Isaiah Stewart,1630191,Wing,Wing-1,0.9999985780073949,Wing - Role Player (Mixed) (Low Usage),9.604719764011799,0.5338890257381291,0.35875350298949343,0.5398230088495575,0.35693215339233036,0.16135128595752307,7.0625,339,48,0.6755162241887905,0.011799410029498525,0.3126843657817109,0.13864306784660768,10.253161216718883,21.0,1.3476027439214848,0.35693215339233036,0.13864306784660768,0.14749262536873156,0.02654867256637168
Immanuel Quickley,1630193,Wing,Wing-2,0.999761117495227,Wing - Role Player (Mixed),17.244956772334294,0.411887631504002,0.4687013471992708,0.4452449567723343,0.8487031700288185,0.209418088652798,13.346153846153847,694,52,0.3847262247838617,0.08789625360230548,0.5273775216138329,0.07492795389048992,9.672289553531979,18.0,1.4661626272189892,0.1440922190201729,0.004322766570605188,0.001440922190201729,0.21037463976945245
Isaiah Joe,1630198,Guard,Guard-3,0.9999999999963123,Guard - Perimeter-Focused (Low Usage),21.35158501440922,0.3962532077169602,0.5367861026134186,0.4409221902017291,0.8847262247838616,0.17416162429734036,7.382978723404255,347,47,0.1440922190201729,0.06340057636887608,0.792507204610951,0.20172910662824206,8.02940884748099,4.0,1.207186843189011,0.09221902017291066,0.020172910662824207,0.002881844380403458,0.005763688760806916
Tre Jones,1630200,Wing,Wing-0,0.9999900246567669,Wing - Mid-Range Specialist (High Usage),8.056291390728477,0.5073957710183749,0.40729346672173067,0.5496688741721855,0.45695364238410596,0.16619860507660644,7.947368421052632,302,38,0.7450331125827815,0.04304635761589404,0.21192052980132448,0.05629139072847682,9.363114711330502,10.75,1.3383766729601092,0.5331125827814569,0.0033112582781456954,0.0033112582781456954,0.19205298013245034
Payton Pritchard,1630202,Guard,Guard-4,1.0,Guard - Mid-Range Specialist,18.016129032258064,0.4059243451568025,0.5116660443461591,0.46236559139784944,0.842741935483871,0.2075533030577097,14.037735849056604,744,53,0.3467741935483871,0.13978494623655913,0.5134408602150538,0.043010752688172046,9.507368145814294,16.0,1.5451042617557316,0.15725806451612903,0.0,0.0,0.038978494623655914
Desmond Bane,1630217,Wing,Wing-2,0.9948133235862684,Wing - Role Player (Mixed),12.71267252195734,0.4547252374189144,0.44077657110923996,0.47176913425345046,0.5922208281053952,0.22637372765295927,15.037735849056604,797,53,0.5319949811794229,0.12421580928481807,0.3437892095357591,0.06900878293601004,10.26392925385062,21.0,1.5615484230299284,0.39397741530740277,0.0012547051442910915,0.011292346298619825,0.13048933500627352
Naji Marshall,1630230,Wing,Wing-2,0.9999999999512195,Wing - Role Player (Mixed),11.072463768115941,0.46610752317352144,0.4255536640818442,0.532608695652174,0.6594202898550725,0.18683734254584106,10.415094339622641,552,53,0.6521739130434783,0.06521739130434782,0.2826086956521739,0.14492753623188404,9.215616573901087,19.0,1.571197361346271,0.3170289855072464,0.014492753623188406,0.005434782608695652,0.2246376811594203
Sam Merrill,1630241,Guard,Guard-3,1.0,Guard - Perimeter-Focused (Low Usage),21.729824561403507,0.3883199971844792,0.5270302133930735,0.4842105263157895,0.8947368421052632,0.16991023655457727,9.193548387096774,285,31,0.13333333333333333,0.056140350877192984,0.8105263157894737,0.12982456140350876,7.680732362021229,2.0,1.0482093542657243,0.09473684210526316,0.0,0.007017543859649123,0.02456140350877193
Ayo Dosunmu,1630245,Wing,Wing-1,0.9999999999979008,Wing - Role Player (Mixed) (Low Usage),11.478764478764479,0.4900064403496482,0.4205651949099936,0.5173745173745173,0.5173745173745173,0.2011156090588405,10.791666666666666,518,48,0.5888030888030887,0.013513513513513514,0.3957528957528958,0.12162162162162163,11.187280910772323,23.0,1.3601800876983292,0.4555984555984556,0.025096525096525095,0.0019305019305019305,0.10617760617760617
Vít Krejčí,1630249,Guard,Guard-3,0.999999998795122,Guard - Perimeter-Focused (Low Usage),20.421348314606742,0.40135340821819493,0.5236216957651297,0.46348314606741575,0.8764044943820225,0.14178074881693828,6.980392156862745,356,51,0.2050561797752809,0.028089887640449437,0.7668539325842696,0.18820224719101125,8.667049102708356,4.0,1.1969089000320898,0.10393258426966293,0.014044943820224719,0.0,0.06179775280898876
Pat Spencer,1630311,Wing,Wing-2,0.9998568591912027,Wing - Role Player (Mixed),13.321100917431192,0.44515033567207035,0.47077724634804885,0.43577981651376146,0.7477064220183486,0.18938373939228031,6.228571428571429,218,35,0.5229357798165137,0.12385321100917432,0.3532110091743119,0.08256880733944955,9.510005145147742,19.0,1.557784561345577,0.22477064220183487,0.009174311926605505,0.009174311926605505,0.11926605504587157
Brandon Williams,1630314,Wing,Wing-0,0.9999989800925081,Wing - Mid-Range Specialist (High Usage),10.14864864864865,0.4864443901441983,0.43056726804609563,0.46621621621621623,0.4797297297297297,0.24465099499209278,9.652173913043478,444,46,0.6463963963963963,0.0990990990990991,0.2522522522522523,0.06306306306306306,9.869600039603244,20.0,1.5052007720867144,0.48873873873873874,0.024774774774774775,0.0045045045045045045,0.07657657657657657
Herbert Jones,1630529,Wing,Wing-2,0.9384698413117756,Wing - Role Player (Mixed),14.996402877697841,0.4628234155054931,0.43670389490320577,0.3920863309352518,0.6690647482014388,0.1492485425300274,8.424242424242424,278,33,0.4136690647482014,0.06474820143884892,0.5215827338129497,0.19424460431654678,10.492733673270592,22.75,1.4596899785234396,0.27697841726618705,0.03597122302158273,0.01079136690647482,0.07194244604316546
Trey Murphy III,1630530,Wing,Wing-2,0.9999738972688561,Wing - Role Player (Mixed),16.159198113207548,0.46324682019079777,0.4624464089453739,0.47641509433962265,0.7040094339622641,0.2255802871123264,16.307692307692307,848,52,0.419811320754717,0.055424528301886794,0.5247641509433962,0.054245283018867926,11.242497603595211,23.0,1.4876738614398635,0.18867924528301888,0.10141509433962265,0.0023584905660377358,0.10023584905660378
