player,attempts,mean_sdi,actual_fg,predicted_fg,avg_points_per_shot,avg_shot_value_added,avg_points_over_expected,above_expected_fg
RJ Barrett,432,0.38665642569030206,0.48148148148148145,0.512214158918285,1.087962962962963,-0.030732677436803583,-0.08300973517103859,-0.03073267743680358
Ivica Zubac,429,0.28097784256370917,0.6130536130536131,0.5924458562121314,1.2261072261072261,0.02060775684148171,0.04121551368296342,0.02060775684148164
Franz Wagner,428,0.40929877498467826,0.47897196261682246,0.49571525554636353,1.0560747663551402,-0.016743292929541156,-0.03414263120676591,-0.016743292929541076
Sandro Mamukelashvili,427,0.42048298759196123,0.5245901639344263,0.48661393470686404,1.224824355971897,0.03797622922756223,0.07391535122129408,0.03797622922756222
Wendell Carter Jr.,427,0.3885843000688267,0.4918032786885246,0.5104566821551862,1.117096018735363,-0.01865340346666163,-0.06607980746970175,-0.018653403466661667
Jordan Goodwin,427,0.47233659625935026,0.405152224824356,0.44780538859551916,0.9976580796252927,-0.04265316377116321,-0.09220542455158715,-0.04265316377116318
Tre Johnson,423,0.5000327214735791,0.4397163120567376,0.4265493343076244,1.0803782505910164,0.013166977749113183,0.0352790774227312,0.01316697774911324
Kevin Huerter,423,0.464276826978806,0.45390070921985815,0.4537161476013819,1.0756501182033098,0.00018456161847622935,-0.03620243115023001,0.0001845616184762422
Jock Landale,417,0.37523721898513407,0.5275779376498801,0.520331630662327,1.1918465227817745,0.007246306987553063,0.010302818422798487,0.0072463069875531305
Deandre Ayton,412,0.26907144782904774,0.6747572815533981,0.6012940596042087,1.3495145631067962,0.07346322194918939,0.14692644389837878,0.07346322194918942
Rui Hachimura,409,0.4809752070409818,0.511002444987775,0.44078136503263593,1.21760391198044,0.07022107995513913,0.17136848157935097,0.0702210799551391
Cam Spencer,407,0.5274630490198716,0.47665847665847666,0.4058863279512751,1.2235872235872236,0.0707721487072015,0.19165346008005144,0.07077214870720155
Egor Dëmin,406,0.5171263769949608,0.4064039408866995,0.4135472154507445,1.0985221674876848,-0.007143274564045052,0.0007142589501144711,-0.00714327456404501
Kyle Filipowski,405,0.4051122153478476,0.48641975308641977,0.4985084151868847,1.0864197530864197,-0.012088662100465003,-0.04051070783248274,-0.012088662100464942
Dylan Harper,405,0.4194392817468536,0.4666666666666667,0.4877999696132777,1.0,-0.021133302946611025,-0.07397936136047904,-0.021133302946611032
Ausar Thompson,403,0.3284947545525613,0.511166253101737,0.5564985329800922,1.0372208436724566,-0.045332279878355274,-0.09305457403590248,-0.0453322798783552
Jordan Clarkson,401,0.4724364205316499,0.4314214463840399,0.44760687418043954,1.0174563591022443,-0.016185427796399632,-0.048925367561367644,-0.016185427796399643
Jarrett Allen,398,0.29603703361681327,0.6231155778894473,0.5811201899990479,1.2487437185929648,0.041995387890399326,0.07771504321394507,0.04199538789039936
Josh Hart,394,0.4474104993175731,0.49746192893401014,0.4664423918012447,1.16751269035533,0.031019537132765444,0.07484459677553276,0.03101953713276545
Tobias Harris,393,0.45550775799414245,0.455470737913486,0.45993190071259127,1.0432569974554708,-0.004461162799105252,-0.021845367503161024,-0.004461162799105245
Coby White,393,0.476353597292963,0.43765903307888043,0.44473256942988654,1.0585241730279897,-0.007073536351006138,-0.029433197031017315,-0.0070735363510061045
AJ Green,391,0.54862214274247,0.4398976982097187,0.3894207880481392,1.2659846547314577,0.05047691016157946,0.14778156886232857,0.050476910161579513
Sam Hauser,391,0.5320166945489168,0.4092071611253197,0.4013774698747764,1.156010230179028,0.007829691250543332,0.020273743963420472,0.00782969125054328
Jake LaRavia,389,0.4347612415403919,0.4652956298200514,0.4758107115420631,1.0874035989717223,-0.010515081722011679,-0.04416259879832369,-0.01051508172201171
Cason Wallace,384,0.44011872213993053,0.4244791666666667,0.4717655292105547,1.0338541666666667,-0.04728636254388802,-0.11735633889540886,-0.047286362543888016
Zaccharie Risacher,383,0.4288870449920856,0.4490861618798956,0.47988267752717845,1.0652741514360313,-0.03079651564728292,-0.07855830886075323,-0.030796515647282863
Kevin Porter Jr.,382,0.4633074813724133,0.4476439790575916,0.4550261158101974,1.0,-0.00738213675260578,-0.024079154461983967,-0.007382136752605795
Bennedict Mathurin,381,0.47403431475467916,0.4251968503937008,0.44629644954995495,1.005249343832021,-0.021099599156254176,-0.04187139035786468,-0.021099599156254145
Simone Fontecchio,381,0.4885229894704737,0.3910761154855643,0.43524274596447976,1.031496062992126,-0.04416663047891546,-0.103096519244022,-0.04416663047891545
Darius Garland,377,0.4828736079582034,0.4509283819628647,0.4400192493146367,1.0583554376657824,0.010909132648228006,0.02065462459118471,0.010909132648228015
Jay Huff,375,0.4118859134438363,0.4693333333333333,0.4923457537877338,1.1386666666666667,-0.0230124204544005,-0.1122567705663328,-0.023012420454400495
Jalen Suggs,370,0.4781124781386903,0.44324324324324327,0.44294261261244233,1.0594594594594595,0.0003006306308009431,-0.02980076581361256,0.00030063063080093544
Aaron Nesmith,370,0.4859127792412781,0.3891891891891892,0.4373578069486587,0.9837837837837838,-0.048168617759469505,-0.09899088041059001,-0.04816861775946951
Mark Williams,367,0.25371893329183054,0.6648501362397821,0.6130819660278827,1.332425068119891,0.051768170211899334,0.10504061425004296,0.05176817021189939
Kentavious Caldwell-Pope,366,0.5042152604307333,0.4098360655737705,0.42318907053610205,0.9699453551912568,-0.01335300496233157,-0.05305345588386122,-0.01335300496233155
Isaiah Collier,365,0.41274371554704864,0.5095890410958904,0.4930296758731025,1.0794520547945206,0.016559365222787982,0.01688317515921833,0.016559365222787947
Jalen Williams,365,0.4135255773273596,0.4794520547945205,0.49198078902165454,1.0136986301369864,-0.012528734227133981,-0.03619009729345769,-0.01252873422713402
Aaron Wiggins,363,0.4601711339243719,0.44352617079889806,0.45666510442538766,1.09366391184573,-0.01313893362648959,-0.01908575636611266,-0.013138933626489602
Tristan da Silva,363,0.4601393869972652,0.42699724517906334,0.45666508938837264,1.044077134986226,-0.02966784420930926,-0.06505859334933775,-0.02966784420930929
Miles McBride,362,0.5323672750958257,0.43370165745856354,0.40180973167028866,1.149171270718232,0.03189192578827492,0.09611882955756323,0.03189192578827488
Maxime Raynaud,362,0.3484812941714507,0.5524861878453039,0.5417237403959155,1.1353591160220995,0.010762447449388311,0.007742904908603832,0.010762447449388368
Quinten Post,358,0.4534495027658284,0.43854748603351956,0.46141807048131267,1.106145251396648,-0.02287058444779313,-0.08074126512167648,-0.022870584447793108
Jusuf Nurkić,358,0.33062434647720057,0.5027932960893855,0.5548031695477346,1.0754189944134078,-0.052009873458349044,-0.118426676869365,-0.052009873458349065
Vít Krejčí,356,0.5236216957651297,0.46348314606741575,0.4086674990062219,1.2415730337078652,0.054815647061193865,0.13815573923210667,0.05481564706119385
Paul George,354,0.4866343411058015,0.423728813559322,0.436283818168572,1.0338983050847457,-0.01255500460924994,-0.028564714942725868,-0.012555004609249965
Marcus Smart,351,0.45755255801488703,0.4017094017094017,0.45816162257983056,1.0,-0.05645222087042885,-0.154983614956938,-0.05645222087042884
Ronald Holland II,351,0.42082085114344125,0.4131054131054131,0.4863036728523471,0.9116809116809117,-0.073198259746934,-0.2028503264018844,-0.073198259746934
Jamal Shead,350,0.48700903631865733,0.3628571428571429,0.4367179840607753,0.9,-0.07386084120363241,-0.16995408085033623,-0.0738608412036324
Davion Mitchell,348,0.440269402318351,0.46839080459770116,0.4718591837305448,1.0948275862068966,-0.0034683791328436447,-0.0023752482365506766,-0.0034683791328436464
Isaiah Joe,347,0.5367861026134186,0.4409221902017291,0.39863042134066384,1.2103746397694524,0.042291768861065254,0.11748470163462404,0.04229176886106528
Luguentz Dort,347,0.4900783538412555,0.3976945244956772,0.4332800413212386,1.043227665706052,-0.03558551682556135,-0.10532724654839906,-0.03558551682556138
Jrue Holiday,346,0.47461198675918576,0.45375722543352603,0.4460304227671297,1.092485549132948,0.007726802666396349,0.017661065487195923,0.00772680266639636
Gary Trent Jr.,346,0.5464817260127841,0.38439306358381503,0.39158378653867315,1.0346820809248556,-0.007190722954858128,-0.014580055366356296,-0.00719072295485812
Cam Thomas,346,0.5040340099538871,0.407514450867052,0.42403421895146265,0.9393063583815029,-0.01651976808441061,-0.04185317497328576,-0.016519768084410635
Bruce Brown,344,0.38546454950506615,0.4622093023255814,0.5136264796543026,1.0145348837209303,-0.05141717732872131,-0.10924525272302729,-0.05141717732872125
Rudy Gobert,343,0.21752589169241554,0.7026239067055393,0.6396321593381408,1.4052478134110786,0.06299174736739861,0.12431507630971297,0.06299174736739854
Draymond Green,343,0.41850147708730856,0.41690962099125367,0.48754537792994185,1.0379008746355685,-0.07063575693868822,-0.20394680918917663,-0.07063575693868818
Kelly Oubre Jr.,341,0.43693797832915604,0.46920821114369504,0.47428895089484596,1.1085043988269794,-0.005080739751150909,-0.01647703802519879,-0.00508073975115092
Isaiah Stewart,339,0.35875350298949343,0.5398230088495575,0.5332337202694112,1.1799410029498525,0.00658928858014636,-0.007999724641706686,0.006589288580146291
Jordan Poole,338,0.5100793548025211,0.3698224852071006,0.4196138616108647,0.9497041420118343,-0.04979137640376416,-0.113530058334934,-0.04979137640376413
Kris Dunn,337,0.4316288204185131,0.47774480712166173,0.47806801746173344,1.1275964391691395,-0.0003232103400716923,-0.011404855211950275,-0.00032321034007171123
Anthony Davis,334,0.3620117454757258,0.5059880239520959,0.5306352948544127,1.0419161676646707,-0.024647270902316883,-0.06387040089859862,-0.024647270902316887
Pelle Larsson,333,0.40190579440724955,0.4954954954954955,0.5006203535218442,1.117117117117117,-0.005124858026348697,-0.03275977608430839,-0.005124858026348711
T.J. McConnell,330,0.48355811325111153,0.5393939393939394,0.43902835236520094,1.1151515151515152,0.10036558702873852,0.1915356981504352,0.10036558702873849
Neemias Queta,330,0.24832546816472814,0.6393939393939394,0.6163101190434365,1.2787878787878788,0.02308382035050293,0.03940973581632255,0.023083820350502937
Jalen Smith,328,0.4132436464778891,0.4878048780487805,0.4916174085713052,1.1768292682926829,-0.0038125305225247073,-0.016888706329074583,-0.0038125305225247264
Patrick Williams,327,0.47731762467213806,0.3853211009174312,0.44348504518907467,0.9785932721712538,-0.058163944271643495,-0.1109371143777298,-0.05816394427164345
Nique Clifford,326,0.47913655862438437,0.39263803680981596,0.44268372345779405,0.9202453987730062,-0.05004568664797808,-0.11967332567565157,-0.050045686647978094
Isaac Okoro,322,0.39473255024187726,0.4658385093167702,0.5059937716175518,1.0807453416149069,-0.04015526230078158,-0.1076028326823096,-0.04015526230078159
Ja Morant,322,0.4333104666669942,0.40993788819875776,0.47732994233645565,0.8819875776397516,-0.06739205413769783,-0.1709771007141306,-0.06739205413769789
Tari Eason,317,0.4400784303217695,0.45110410094637227,0.4719375707742498,1.1198738170347002,-0.02083346982787757,-0.0031533954383047894,-0.020833469827877538
Svi Mykhailiuk,316,0.4764409840565457,0.4778481012658228,0.4442907735443521,1.2120253164556962,0.033557327721470714,0.07697049097805245,0.03355732772147069
Khris Middleton,316,0.49704361790612084,0.4272151898734177,0.42851466094245544,0.9651898734177216,-0.0012994710690376998,-0.01615650470165653,-0.0012994710690377165
Jose Alvarado,310,0.5238046412722244,0.42258064516129035,0.4093785388967712,1.103225806451613,0.013202106264519134,0.037134598895595027,0.01320210626451912
Nikola Jović,305,0.4675705332873734,0.3704918032786885,0.4511441544452638,0.8852459016393442,-0.08065235116657529,-0.21658404373010648,-0.08065235116657526
Tre Jones,302,0.40729346672173067,0.5496688741721855,0.4971310072678283,1.1688741721854305,0.0525378669043571,0.09320407188115404,0.05253786690435719
Buddy Hield,301,0.5114217635414815,0.4318936877076412,0.41829720809658905,1.0863787375415281,0.013596479611052148,0.014033785974633041,0.013596479611052148
Daniss Jenkins,299,0.4927720421082996,0.42474916387959866,0.43263767209284687,0.9933110367892977,-0.007888508213248172,-0.007339363580099996,-0.007888508213248213
Justin Champagnie,298,0.3783849476173843,0.5,0.518354169253871,1.1174496644295302,-0.018354169253870997,-0.06025855651803368,-0.01835416925387101
Gradey Dick,295,0.4769958309135932,0.423728813559322,0.4440545098346703,1.0101694915254238,-0.020325696275348283,-0.06986863274544829,-0.020325696275348304
Danny Wolf,294,0.44787444076893473,0.40476190476190477,0.4662576473963156,0.9625850340136054,-0.061495742634410835,-0.14728785243757414,-0.06149574263441082
Ziaire Williams,288,0.48612255939765675,0.4166666666666667,0.43692821738721993,1.0520833333333333,-0.02026155072055323,-0.07862180110494174,-0.020261550720553245
Brook Lopez,288,0.4844213899133266,0.3854166666666667,0.43781002886888537,1.0104166666666667,-0.0523933622022187,-0.14075444973639334,-0.052393362202218685
Precious Achiuwa,288,0.3305518931680946,0.5,0.5550189630830623,1.0555555555555556,-0.05501896308306239,-0.12804552952427076,-0.05501896308306231
Sam Merrill,285,0.5270302133930735,0.4842105263157895,0.4060042666682278,1.3508771929824561,0.07820625964756171,0.23283550000265515,0.07820625964756167
Terance Mann,284,0.4330887227228763,0.4507042253521127,0.47737637035818004,1.0387323943661972,-0.026672145006067387,-0.06606570641171448,-0.02667214500606735
Vince Williams Jr.,281,0.48581337062534435,0.3594306049822064,0.43710498917806406,0.9074733096085409,-0.07767438419585768,-0.1942259493676459,-0.07767438419585765
Herbert Jones,278,0.43670389490320577,0.3920863309352518,0.47385689675164,0.9424460431654677,-0.08177056581638817,-0.20681793721970027,-0.0817705658163882
De'Anthony Melton,276,0.4787732527370867,0.42391304347826086,0.4429884809726647,0.9891304347826086,-0.019075437494403828,-0.06745537481959053,-0.019075437494403824
Javonte Green,276,0.439775926317718,0.44565217391304346,0.4718898848029805,1.0942028985507246,-0.026237710889936993,-0.06872667272762631,-0.026237710889937038
Day'Ron Sharpe,275,0.32501110406716494,0.610909090909091,0.5594266362477555,1.2472727272727273,0.05148245466133545,0.08336496842627569,0.0514824546613355
Walter Clayton Jr.,275,0.4883661987212373,0.4,0.4355082285606294,0.9636363636363636,-0.03550822856062935,-0.11157138878215216,-0.03550822856062935
Dru Smith,275,0.44936589071016,0.4109090909090909,0.4652124099925838,0.9490909090909091,-0.0543033190834929,-0.13483095034395046,-0.054303319083492896
Will Riley,274,0.4710910616364657,0.4124087591240876,0.44864803555490185,0.9562043795620438,-0.036239276430814274,-0.0832111178705462,-0.03623927643081426
Aaron Gordon,273,0.4343458575556166,0.5091575091575091,0.47642441778650185,1.1721611721611722,0.032733091371007245,0.07590398664389031,0.03273309137100727
Jonas Valančiūnas,272,0.3175770554395738,0.5772058823529411,0.564101310962113,1.1727941176470589,0.013104571390828117,0.014105493126675733,0.013104571390828101
Marvin Bagley III,271,0.2937577399349469,0.6162361623616236,0.5828669197971542,1.2656826568265682,0.033369242564469465,0.0704757367103284,0.03336924256446938
Bilal Coulibaly,269,0.4015098106967017,0.3940520446096654,0.500813071865235,0.895910780669145,-0.10676102725556959,-0.2671917039791607,-0.10676102725556963
Sidy Cissoko,267,0.45445050012187077,0.40823970037453183,0.46031586758296367,1.0187265917602997,-0.0520761672084318,-0.14267092614325533,-0.052076167208431834
Bones Hyland,266,0.498796935807796,0.46616541353383456,0.4278189189732694,1.169172932330827,0.03834649456056514,0.08627266309359838,0.03834649456056516
Cameron Johnson,266,0.44550328971711417,0.4699248120300752,0.46746721719897194,1.1616541353383458,0.0024575948311032453,0.03040388767568241,0.002457594831103249
Luke Kennard,264,0.5009370916222624,0.5454545454545454,0.4258142793938936,1.3901515151515151,0.11964026606065188,0.3135383168488965,0.11964026606065181
Kobe Sanders,264,0.4809166607082278,0.4356060606060606,0.44079823135382534,1.0492424242424243,-0.005192170747764741,-0.015346976640942981,-0.005192170747764735
Dominick Barlow,262,0.33702100730295315,0.5572519083969466,0.5493644937035698,1.183206106870229,0.007887414693376825,-0.0065134632772288325,0.007887414693376837
Ryan Dunn,261,0.4098275137297196,0.44061302681992337,0.494529031890479,1.0306513409961686,-0.05391600507055557,-0.12986818872965056,-0.053916005070555606
Jared McCain,260,0.4864700539519538,0.3923076923076923,0.4371621798595815,0.9807692307692307,-0.044854487551889206,-0.07978257013016336,-0.0448544875518892
Keegan Murray,259,0.4562554021729111,0.42857142857142855,0.45951573343816804,0.9536679536679536,-0.030944304866739453,-0.09943631947885735,-0.03094430486673949
Collin Murray-Boyles,257,0.32363318087301807,0.5525291828793775,0.5599594523343199,1.1673151750972763,-0.007430269454942423,-0.0235640244768354,-0.007430269454942406
Jaden Ivey,256,0.4942200825901024,0.4453125,0.4314569321475327,1.0859375,0.013855567852467266,0.029750021128700344,0.013855567852467277
Tyrese Martin,255,0.48409566721477293,0.39215686274509803,0.43870615703351784,0.984313725490196,-0.04654929428841981,-0.11851669658366483,-0.04654929428841981
Moussa Diabaté,253,0.2583991501253312,0.6324110671936759,0.6096905478739384,1.2687747035573123,0.022720519319737415,0.04665915316688725,0.02272051931973751
Ben Sheppard,252,0.49108321000999944,0.4007936507936508,0.43333488894749994,1.0198412698412698,-0.032541238153849156,-0.07998819491715077,-0.03254123815384913
Sion James,251,0.46468787982880244,0.3784860557768924,0.45328243368008647,0.9721115537848606,-0.07479637790319404,-0.15616488128294748,-0.07479637790319404
Tre Mann,249,0.5274149064139089,0.3654618473895582,0.40671032476365593,0.9036144578313253,-0.0412484773740977,-0.08942319836729168,-0.0412484773740977
Corey Kispert,248,0.4633391196559717,0.4637096774193548,0.45433861066387243,1.1451612903225807,0.009371066755482403,0.005863591782234295,0.009371066755482382
Will Richard,247,0.47321766554342026,0.46963562753036436,0.4466731288281023,1.1578947368421053,0.02296249870226208,0.03543254223138667,0.02296249870226208
Ryan Nembhard,245,0.5009839542498267,0.42857142857142855,0.42565614835029525,0.9918367346938776,0.0029152802211333297,0.004892153890662334,0.0029152802211332984
Nae'Qwan Tomlin,238,0.3640972320696596,0.48739495798319327,0.5292038942811923,1.0546218487394958,-0.04180893629799901,-0.1414217506374837,-0.04180893629799903
Caris LeVert,234,0.5069709903083139,0.43162393162393164,0.4219166078718299,1.0299145299145298,0.00970732375210174,0.014939444883659192,0.00970732375210176
D'Angelo Russell,232,0.5167114551986105,0.4051724137931034,0.4142670295467704,0.9525862068965517,-0.009094615753666985,-0.0472490945985153,-0.00909461575366699
Cole Anthony,231,0.47303548720771865,0.42424242424242425,0.4470872046459383,0.9437229437229437,-0.022844780403514082,-0.0669212934181832,-0.022844780403514064
GG Jackson,228,0.42185570185862004,0.4824561403508772,0.4857848066290669,1.1096491228070176,-0.003328666278189757,-0.028668618696336304,-0.003328666278189729
Keon Ellis,227,0.5279603905165937,0.3964757709251101,0.4056502781374829,1.0484581497797356,-0.009174507212372732,-0.019673224770846195,-0.009174507212372784
Mouhamed Gueye,227,0.4222967651022125,0.44493392070484583,0.4854248650414283,1.013215859030837,-0.04049094433658245,-0.11521554947248554,-0.04049094433658246
Ja'Kobe Walter,226,0.47151964992099604,0.42920353982300885,0.4478354591202438,1.079646017699115,-0.01863191929723498,-0.05272907629264792,-0.018631919297234956
Al Horford,224,0.49899598622086433,0.42857142857142855,0.4269182409980971,1.0758928571428572,0.0016531875733315018,-0.02423785391531124,0.0016531875733314383
