player,avg_xFG,actual_fg_pct,makes,attempts,avg_residual,residual_fg_pct
Aaron Gordon,0.48934093919466665,0.5091575091575091,139,273,0.01981656996284252,0.01981656996284248
Santi Aldama,0.4592874039517236,0.4789915966386555,228,476,0.019704192686931854,0.019704192686931854
Ivica Zubac,0.5934046385672889,0.6130536130536131,263,429,0.019648974486324116,0.01964897448632419
Tyrese Maxey,0.4498968291891725,0.4691136974037601,524,1117,0.019216868214587516,0.019216868214587568
Dillon Brooks,0.42229381657800963,0.4409722222222222,381,864,0.01867840564421257,0.01867840564421258
Reed Sheppard,0.4077935645977892,0.4256410256410256,249,585,0.017847461043236434,0.017847461043236423
Davion Mitchell,0.45055397976959893,0.46839080459770116,163,348,0.017836824828102192,0.017836824828102227
Moses Moody,0.41962752775462236,0.43710021321961623,205,469,0.01747268546499384,0.017472685464993865
Desmond Bane,0.4547252374189144,0.47176913425345046,376,797,0.017043896834536058,0.017043896834536054
Al Horford,0.4120222081250074,0.42857142857142855,96,224,0.01654922044642118,0.016549220446421153
Neemias Queta,0.6230983847566371,0.6393939393939394,211,330,0.01629555463730221,0.016295554637302256
Grayson Allen,0.4022791293804781,0.4182590233545648,197,471,0.015979893974086605,0.015979893974086667
Ryan Nembhard,0.4128418976052814,0.42857142857142855,105,245,0.015729530966147147,0.015729530966147154
Jalen Johnson,0.4872099898760428,0.5017421602787456,432,861,0.014532170402702825,0.014532170402702826
Buddy Hield,0.4174896946004064,0.4318936877076412,130,301,0.014403993107234808,0.01440399310723478
Ryan Rollins,0.44926248553934595,0.46348314606741575,330,712,0.014220660528069742,0.014220660528069806
Jusuf Nurkić,0.4888489011023462,0.5027932960893855,180,358,0.013944394987039286,0.01394439498703931
Jaden Ivey,0.4315305496250282,0.4453125,114,256,0.013781950374971791,0.013781950374971819
Jose Alvarado,0.4091201921670582,0.42258064516129035,131,310,0.013460452994232167,0.013460452994232153
Trey Murphy III,0.46324682019079777,0.47641509433962265,404,848,0.013168274148824903,0.013168274148824877
Oso Ighodaro,0.618784880044391,0.6308411214953271,135,214,0.012056241450936044,0.01205624145093609
Onyeka Okongwu,0.47184310929019413,0.4838709677419355,300,620,0.01202785845174136,0.012027858451741369
Malik Monk,0.42401637924135654,0.43577981651376146,190,436,0.011763437272404906,0.01176343727240492
Cameron Johnson,0.4585491671092869,0.4699248120300752,125,266,0.011375644920788311,0.011375644920788297
Andrew Nembhard,0.43038187741893214,0.44107744107744107,262,594,0.010695563658508924,0.010695563658508933
Isaiah Hartenstein,0.6258565312341503,0.6350710900473934,134,211,0.009214558813243049,0.009214558813243068
Jaime Jaquez Jr.,0.49587075491632165,0.5048231511254019,314,622,0.008952396209080274,0.008952396209080227
Quinten Post,0.42992040348572713,0.43854748603351956,157,358,0.008627082547792412,0.00862708254779243
Kevin Huerter,0.44558955426299557,0.45390070921985815,192,423,0.008311154956862596,0.008311154956862576
Julius Randle,0.48342763125821525,0.49158249158249157,438,891,0.008154860324276344,0.008154860324276314
Pelle Larsson,0.48734928246486287,0.4954954954954955,165,333,0.008146213030632603,0.00814621303063262
