x_value,fitted_effect,lower_ci,upper_ci,sport,effect_label,season_window,baseline_distance
27.73869346733668,-0.29810810675256716,-1.3153239455325956,0.7191077320274613,NBA,Shot Distance,2014-2024,13.0
28.040201005025125,-0.3125542715383257,-1.3235382779484866,0.6984297348718351,NBA,Shot Distance,2014-2024,13.0
28.341708542713565,-0.32834863001659464,-1.3330559809449691,0.6763587209117798,NBA,Shot Distance,2014-2024,13.0
28.643216080402006,-0.3455932151779125,-1.3439852348246744,0.6527988044688493,NBA,Shot Distance,2014-2024,13.0
28.94472361809045,-0.3643900600128187,-1.3564365531995615,0.627656433173924,NBA,Shot Distance,2014-2024,13.0
29.246231155778894,-0.384826608673017,-1.3705091667819773,0.6008559494359436,NBA,Shot Distance,2014-2024,13.0
29.547738693467334,-0.406888073075623,-1.3862062812958231,0.5724301351445773,NBA,Shot Distance,2014-2024,13.0
29.849246231155774,-0.43051594326235976,-1.403489621864014,0.5424577353392943,NBA,Shot Distance,2014-2024,13.0
30.15075376884422,-0.45565154422684506,-1.422320492810642,0.511017404356952,NBA,Shot Distance,2014-2024,13.0
30.452261306532662,-0.48223620096269626,-1.44265941852086,0.4781870165954676,NBA,Shot Distance,2014-2024,13.0
30.753768844221103,-0.5102112384635303,-1.4644656799428095,0.44404320301574884,NBA,Shot Distance,2014-2024,13.0
31.055276381909543,-0.5395179817229652,-1.4876969087614162,0.4086609453154859,NBA,Shot Distance,2014-2024,13.0
31.356783919597987,-0.5700977557346191,-1.5123087434670488,0.37211323199781066,NBA,Shot Distance,2014-2024,13.0
31.65829145728643,-0.601891885492109,-1.5382545519062756,0.3344707809220575,NBA,Shot Distance,2014-2024,13.0
31.95979899497487,-0.6348416959890518,-1.5654852250971754,0.2958018331190717,NBA,Shot Distance,2014-2024,13.0
32.26130653266331,-0.6688885122190659,-1.593949047113086,0.2561720226749542,NBA,Shot Distance,2014-2024,13.0
32.562814070351756,-0.703973659175769,-1.6235916456950918,0.21564432734355354,NBA,Shot Distance,2014-2024,13.0
32.8643216080402,-0.7400384618527786,-1.6543560279669982,0.1742791042614411,NBA,Shot Distance,2014-2024,13.0
33.16582914572864,-0.7770242452437106,-1.686182705231191,0.13213421474377007,NBA,Shot Distance,2014-2024,13.0
33.46733668341708,-0.814872334342185,-1.7190099103635395,0.0892652416791695,NBA,Shot Distance,2014-2024,13.0
33.768844221105525,-0.8535240541418185,-1.7527739108500415,0.04572580256640446,NBA,Shot Distance,2014-2024,13.0
34.07035175879397,-0.8929207296362283,-1.787409420067911,0.001567960795454404,NBA,Shot Distance,2014-2024,13.0
34.37185929648241,-0.933003685819032,-1.8228501090546056,-0.04315726258345842,NBA,Shot Distance,2014-2024,13.0
34.67336683417085,-0.9737142476838461,-1.8590292207636558,-0.08839927460403652,NBA,Shot Distance,2014-2024,13.0
34.97487437185929,-1.0149937402242906,-1.895880288690444,-0.13410719175813735,NBA,Shot Distance,2014-2024,13.0
35.27638190954774,-1.0567834884339817,-1.9333379617519653,-0.18022901511599843,NBA,Shot Distance,2014-2024,13.0
35.577889447236174,-1.0990248173065358,-1.9713389373748105,-0.22671069723826087,NBA,Shot Distance,2014-2024,13.0
35.87939698492462,-1.141659051835573,-2.0098230047941033,-0.2734950988770424,NBA,Shot Distance,2014-2024,13.0
36.18090452261306,-1.1846275170147091,-2.0487342004489877,-0.3205208335804308,NBA,Shot Distance,2014-2024,13.0
36.482412060301506,-1.227871413740176,-2.0880229747741703,-0.36771985270618135,NBA,Shot Distance,2014-2024,13.0
36.78391959798995,-1.2713309347213684,-2.1276527441730035,-0.4150091252697333,NBA,Shot Distance,2014-2024,13.0
37.08542713567839,-1.31494578254266,-2.1675933174166193,-0.462298247668701,NBA,Shot Distance,2014-2024,13.0
37.38693467336683,-1.3586556565275432,-2.2078154645753316,-0.5094958484797548,NBA,Shot Distance,2014-2024,13.0
37.688442211055275,-1.4024002559995066,-2.248289611844791,-0.5565109001542221,NBA,Shot Distance,2014-2024,13.0
37.98994974874371,-1.4461192802820382,-2.28898466230805,-0.6032538982560263,NBA,Shot Distance,2014-2024,13.0
38.291457286432156,-1.4897524286986303,-2.3298669269461163,-0.649637930451144,NBA,Shot Distance,2014-2024,13.0
38.5929648241206,-1.5332394005727716,-2.370899177508602,-0.6955796236369411,NBA,Shot Distance,2014-2024,13.0
38.89447236180904,-1.576519895227952,-2.4120398337828357,-0.7409999566730681,NBA,Shot Distance,2014-2024,13.0
39.19597989949749,-1.61953361198766,-2.4532422978552604,-0.7858249261200598,NBA,Shot Distance,2014-2024,13.0
39.497487437185924,-1.6622202501753862,-2.49445444707042,-0.8299860532803522,NBA,Shot Distance,2014-2024,13.0
39.79899497487437,-1.704519509114621,-2.535618295585556,-0.8734207226436859,NBA,Shot Distance,2014-2024,13.0
40.10050251256281,-1.7463710881288534,-2.576669831818118,-0.9160723444395893,NBA,Shot Distance,2014-2024,13.0
40.40201005025125,-1.787714686541572,-2.6175390359052066,-0.9578903371779375,NBA,Shot Distance,2014-2024,13.0
40.70351758793969,-1.828490003676269,-2.65815007782322,-0.9988299295293183,NBA,Shot Distance,2014-2024,13.0
41.00502512562814,-1.8686367388564324,-2.698421693376144,-1.0388517843367207,NBA,Shot Distance,2014-2024,13.0
41.30653266331658,-1.9080945914055523,-2.738267732177037,-1.0779214506340677,NBA,Shot Distance,2014-2024,13.0
41.608040201005025,-1.9468032606471177,-2.77759786930835,-1.1160086519858852,NBA,Shot Distance,2014-2024,13.0
41.90954773869346,-1.9847024459046192,-2.8163184707750526,-1.1530864210341862,NBA,Shot Distance,2014-2024,13.0
42.211055276381906,-2.0217318465015466,-2.854333602291499,-1.1891300907115943,NBA,Shot Distance,2014-2024,13.0
42.51256281407035,-2.0578311617613885,-2.8915461713993027,-1.2241161521234747,NBA,Shot Distance,2014-2024,13.0
42.81407035175879,-2.0929400910076357,-2.9278591943274845,-1.258020987687787,NBA,Shot Distance,2014-2024,13.0
43.11557788944723,-2.126998333563778,-2.9631771812126235,-1.2908194859149331,NBA,Shot Distance,2014-2024,13.0
43.417085427135675,-2.159945588753305,-2.997407636047742,-1.3224835414588676,NBA,Shot Distance,2014-2024,13.0
43.71859296482412,-2.1917302582894895,-3.0304735787691426,-1.3529869378098363,NBA,Shot Distance,2014-2024,13.0
44.02010050251256,-2.222383151652547,-3.0624071208804704,-1.382359182424624,NBA,Shot Distance,2014-2024,13.0
