player,avg_sdi,avg_xG,actual_goal_pct,attempts,residual
Fredrik Claesson,0.4847383636210564,0.025524689344262278,0.028688524590163935,244,0.003163835245901657
Michal Rozsival,0.4846422132065238,0.027281828263473033,0.017964071856287425,167,-0.009317756407185608
Ron Hainsey,0.4844667516550905,0.030557394855643034,0.031496062992125984,762,0.0009386681364829501
Jonathan Ericsson,0.4841207982745787,0.024364201294820705,0.025896414342629483,502,0.0015322130478087788
Erik Gudbranson,0.4837632407507729,0.02258466334397445,0.02314445331205108,1253,0.0005597899680766273
Henry Thrun,0.48356235635228584,0.02668357849999999,0.03125,160,0.004566421500000011
Noah Juulsen,0.482810311371082,0.021262670518134706,0.010362694300518135,193,-0.010899976217616571
Jordie Benn,0.4825479533190689,0.024552771585956402,0.026634382566585957,826,0.0020816109806295544
Eric Gryba,0.4825410370049781,0.024545211049180317,0.009836065573770493,305,-0.014709145475409824
Nate Prosser,0.482443377589512,0.02372130243654821,0.04060913705583756,197,0.01688783461928935
Rasmus Andersson,0.48189703527711614,0.034971367925675664,0.03648648648648649,1480,0.0015151185608108242
Jordan Spence,0.481886613328917,0.027830552193732185,0.02564102564102564,351,-0.0021895265527065444
Brayden Pachal,0.4818161044622381,0.024832861617647046,0.024509803921568627,204,-0.0003230576960784187
Calen Addison,0.4817047165655375,0.029512766053639835,0.022988505747126436,261,-0.0065242603065133985
Nikita Nikitin,0.4815955763934437,0.032530543884297505,0.03305785123966942,121,0.0005273073553719171
Cale Fleury,0.4815710028609493,0.024917636929824547,0.008771929824561403,114,-0.016145707105263144
Tim Heed,0.48156298936276976,0.026852896180904508,0.03015075376884422,199,0.003297857587939712
Kevin Bieksa,0.4815120131111538,0.03056261617696159,0.018363939899833055,599,-0.012198676277128534
Karl Alzner,0.48144244608687664,0.025304507882797717,0.02835538752362949,529,0.0030508796408317725
Brandon Davidson,0.48121097851113476,0.025260555457516324,0.029411764705882353,306,0.004151209248366029
Oscar Klefbom,0.4810976935384913,0.028993109170542618,0.027131782945736434,1290,-0.001861326224806184
