x_value,fitted_effect,lower_ci,upper_ci,sport,effect_label,season_window,baseline_value
-4.950536303341707,-0.025067877032074914,-0.2654350885739323,0.21529933450978245,NHL,shotAngle,2014-2024,0.0
-4.060989840443213,-0.019994810659561768,-0.26012350763242453,0.220133886313301,NHL,shotAngle,2014-2024,0.0
-3.171443377544719,-0.015156603394562485,-0.2550782405287377,0.22476503373961265,NHL,shotAngle,2014-2024,0.0
-2.2818969146462393,-0.010565274257756108,-0.25032176102803744,0.22919121251252517,NHL,shotAngle,2014-2024,0.0
-1.3923504517477454,-0.006232842269821903,-0.24587410660742937,0.23340842206778556,NHL,shotAngle,2014-2024,0.0
-0.5028039888492515,-0.002171326451438693,-0.2417526576839325,0.23741000478105512,NHL,shotAngle,2014-2024,0.0
0.38674247404924245,0.0016072541767143678,-0.23797198918337303,0.24118649753680177,NHL,shotAngle,2014-2024,0.0
1.2762889369477364,0.005090880593958236,-0.23454379744703058,0.24472555863494705,NHL,shotAngle,2014-2024,0.0
2.1658353998462303,0.008267533779613867,-0.23147690399515874,0.24801197155438648,NHL,shotAngle,2014-2024,0.0
3.0553818627447242,0.011125194713002329,-0.22877733600033645,0.2510277254263411,NHL,shotAngle,2014-2024,0.0
3.944928325643218,0.013651844373444466,-0.22644848167255816,0.2537521704194471,NHL,shotAngle,2014-2024,0.0
4.834474788541712,0.01583546374026079,-0.22449131732401328,0.25616224480453487,NHL,shotAngle,2014-2024,0.0
5.724021251440192,0.01766403379277315,-0.22290470184246303,0.2582327694280093,NHL,shotAngle,2014-2024,0.0
6.613567714338686,0.019125535510301828,-0.22168573379341516,0.2599368048140188,NHL,shotAngle,2014-2024,0.0
7.50311417723718,0.020207949872167896,-0.22083016647489428,0.2612460662192301,NHL,shotAngle,2014-2024,0.0
8.392660640135674,0.02089925785769242,-0.22033287699027682,0.26213139270566166,NHL,shotAngle,2014-2024,0.0
9.282207103034168,0.021187440446196137,-0.22018838675845293,0.26256326765084526,NHL,shotAngle,2014-2024,0.0
10.171753565932661,0.021060478617000222,-0.2203914327782136,0.26251239001221405,NHL,shotAngle,2014-2024,0.0
11.061300028831155,0.020506353349425743,-0.22093759130482143,0.26195029800367287,NHL,shotAngle,2014-2024,0.0
11.95084649172965,0.019513045622793213,-0.22182395825574897,0.2608500495013354,NHL,shotAngle,2014-2024,0.0
12.840392954628143,0.01806863541135806,-0.2230498831801086,0.25918715400282466,NHL,shotAngle,2014-2024,0.0
13.729939417526623,0.016169827623013444,-0.22461683798967141,0.25695649323569836,NHL,shotAngle,2014-2024,0.0
14.619485880425117,0.013828522888044814,-0.2265278879167184,0.25418493369280803,NHL,shotAngle,2014-2024,0.0
15.50903234332361,0.011058168632583798,-0.22878843812404714,0.25090477538921474,NHL,shotAngle,2014-2024,0.0
16.398578806222105,0.007872212282761915,-0.23140562538849607,0.2471500499540199,NHL,shotAngle,2014-2024,0.0
17.2881252691206,0.00428410126471146,-0.23438760721974744,0.2429558097491703,NHL,shotAngle,2014-2024,0.0
18.177671732019093,0.0003072830045636188,-0.23774290244470309,0.23835746845383032,NHL,shotAngle,2014-2024,0.0
19.067218194917587,-0.004044795071549867,-0.24147977909990292,0.2333901889568032,NHL,shotAngle,2014-2024,0.0
19.95676465781608,-0.008758685537497146,-0.24560568881196876,0.22808831773697447,NHL,shotAngle,2014-2024,0.0
20.846311120714574,-0.013820940967146478,-0.2501267499154126,0.22248486798111966,NHL,shotAngle,2014-2024,0.0
21.735857583613054,-0.019218113934366454,-0.255047284177875,0.216611056309142,NHL,shotAngle,2014-2024,0.0
22.625404046511548,-0.024936757013025113,-0.2603694140031091,0.21049589997705886,NHL,shotAngle,2014-2024,0.0
23.514950509410042,-0.030963422776990934,-0.26609272821443564,0.20416588266045377,NHL,shotAngle,2014-2024,0.0
24.404496972308536,-0.03728466380013229,-0.2722140248859062,0.1976446972856416,NHL,shotAngle,2014-2024,0.0
25.29404343520703,-0.043887032656317215,-0.2787271391557047,0.19095307384307025,NHL,shotAngle,2014-2024,0.0
26.183589898105524,-0.050757081919414415,-0.2856228625851205,0.18410869874629165,NHL,shotAngle,2014-2024,0.0
27.073136361004018,-0.057881364163291704,-0.2928889585686753,0.17712623024209184,NHL,shotAngle,2014-2024,0.0
27.96268282390251,-0.06524643196181779,-0.3005102757911241,0.17001741186748853,NHL,shotAngle,2014-2024,0.0
28.852229286801006,-0.0728388378888607,-0.30846895905540594,0.16279128327768455,NHL,shotAngle,2014-2024,0.0
29.741775749699485,-0.08064513451828881,-0.31674475428012405,0.15545448524354644,NHL,shotAngle,2014-2024,0.0
30.63132221259798,-0.08865187442397066,-0.3253154023680454,0.14801165352010404,NHL,shotAngle,2014-2024,0.0
