player,season_window,attempts,mean_sdi,actual_rate,expected_rate,residual,sport,position_group
Cam Atkinson,2014-2024,2656,23.086193785941788,0.08396084337349398,0.08237960553230587,0.0015812378411881045,NHL,W
Jordan Eberle,2014-2024,2655,22.591549978455028,0.08700564971751412,0.0845029828167458,0.0025026669007683217,NHL,C
Mike Hoffman,2014-2024,2632,25.935110349585155,0.08966565349544073,0.06188086537651385,0.02778478811892688,NHL,C
Oliver Ekman-Larsson,2014-2024,2632,28.73775631457369,0.0459726443768997,0.0374024438091519,0.0085702005677478,NHL,D
Seth Jones,2014-2024,2619,28.951414391260034,0.038946162657502864,0.03994775227113392,-0.0010015896136310529,NHL,D
J.T. Miller,2014-2024,2608,22.448858186285683,0.10161042944785276,0.08121710387983015,0.020393325568022605,NHL,C
Jake Guentzel,2014-2024,2608,20.667517237628648,0.11848159509202454,0.09959369611777551,0.01888789897424903,NHL,C
Darnell Nurse,2014-2024,2606,29.544522440026057,0.03376822716807368,0.04122674183342611,-0.007458514665352432,NHL,D
Ryan O'Reilly,2014-2024,2603,22.65845318510085,0.0968113714944295,0.08674781085818513,0.010063560636244376,NHL,C
Nino Niederreiter,2014-2024,2600,21.919483805798464,0.09230769230769231,0.08997774720385782,0.0023299451038344965,NHL,W
Brayden Schenn,2014-2024,2587,21.530117644451725,0.09586393505991496,0.08802811966144264,0.00783581539847232,NHL,C
Alex Killorn,2014-2024,2586,21.809529727736013,0.09590100541376644,0.0826284395200175,0.013272565893748936,NHL,C
Brayden Point,2014-2024,2576,18.705567562172877,0.13548136645962733,0.10111239558037946,0.03436897087924787,NHL,C
James van Riemsdyk,2014-2024,2576,21.59343575605185,0.09277950310559006,0.09081156786624599,0.0019679352393440763,NHL,W
Torey Krug,2014-2024,2544,28.75108338730266,0.031839622641509434,0.037594648592540726,-0.005755025951031292,NHL,D
Sam Bennett,2014-2024,2532,22.743265669014786,0.07977883096366509,0.08709962813449905,-0.007320797170833962,NHL,C
Evgeny Kuznetsov,2014-2024,2513,24.908537051553257,0.08038201352964584,0.0734370573639656,0.006944956165680249,NHL,C
Jeff Carter,2014-2024,2512,24.121223105571318,0.07802547770700637,0.07696737108517895,0.001058106621827412,NHL,C
Boone Jenner,2014-2024,2508,23.411056214569996,0.07456140350877193,0.08559828185228029,-0.01103687834350836,NHL,C
Corey Perry,2014-2024,2504,21.93230667974893,0.09065495207667731,0.09348334877656807,-0.0028283966998907534,NHL,W
Jason Zucker,2014-2024,2497,23.418849864411655,0.08730476571886263,0.08204779943314368,0.00525696628571895,NHL,W
Jaden Schwartz,2014-2024,2493,22.488877167836048,0.0870437224227838,0.08137928695697923,0.005664435465804571,NHL,C
David Perron,2014-2024,2485,24.38231806295121,0.0925553319919517,0.0729004694273483,0.0196548625646034,NHL,W
Logan Couture,2014-2024,2480,23.540041583089682,0.09637096774193549,0.07563064665991716,0.02074032108201833,NHL,C
Jonathan Huberdeau,2014-2024,2464,22.56805469076455,0.09537337662337662,0.08365680555108311,0.011716571072293513,NHL,C
Sean Monahan,2014-2024,2464,20.14360653243962,0.10186688311688312,0.09525643016905681,0.006610452947826306,NHL,C
Alex DeBrincat,2014-2024,2460,23.7267308170527,0.10365853658536585,0.08092179303100294,0.022736743554362907,NHL,W
