sport,model_family,target_label,factor_key,plot_type,x_value,y_value,fitted_effect,lower_ci,upper_ci,baseline_value,season_window
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,100.0,-10.0,0.07074963322278369,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-100.0,-8.405797101449275,-0.42316700686805925,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-97.10144927536231,-8.405797101449275,-0.33764482550841723,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-94.20289855072464,-8.405797101449275,-0.25475090358801056,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-91.30434782608695,-8.405797101449275,-0.17494416612461838,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-88.40579710144928,-8.405797101449275,-0.09853221384749067,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-85.5072463768116,-8.405797101449275,-0.02582264748587548,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-82.6086956521739,-8.405797101449275,0.04287693223097784,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-79.71014492753623,-8.405797101449275,0.10725892457381993,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-76.81159420289855,-8.405797101449275,0.16701572881340257,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-73.91304347826087,-8.405797101449275,0.221839744220476,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-71.01449275362319,-8.405797101449275,0.2714233700657921,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-68.1159420289855,-8.405797101449275,0.3155758468105726,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-65.21739130434783,-8.405797101449275,0.3548502825214948,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-62.31884057971015,-8.405797101449275,0.39009151738518877,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-59.42028985507246,-8.405797101449275,0.42214507799769047,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-56.52173913043478,-8.405797101449275,0.45185649095503544,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-53.6231884057971,-8.405797101449275,0.48007128285325973,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-50.72463768115942,-8.405797101449275,0.5076349802883996,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-47.82608695652174,-8.405797101449275,0.5353931098564908,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-44.927536231884055,-8.405797101449275,0.5641911981535689,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-42.028985507246375,-8.405797101449275,0.5948747562629071,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-39.130434782608695,-8.405797101449275,0.6280021535863574,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-36.231884057971016,-8.405797101449275,0.6631106827151778,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-33.33333333333333,-8.405797101449275,0.6995107710038825,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-30.434782608695656,-8.405797101449275,0.7365128458069844,,,,2014-2024
NHL,LogisticGAM,Expected Goal,spatial,spatial_surface,-27.53623188405797,-8.405797101449275,0.7734273344789979,,,,2014-2024
