x_value,fitted_effect,lower_ci,upper_ci,sport,effect_label,season_window,baseline_distance,observed_max_distance,curve
27.575017797374876,0.24318648740538396,0.09395191731555996,0.39242105749520795,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
28.067428829470856,0.22210689984992116,0.0726740363670011,0.3715397633328412,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
28.559839861566836,0.200379180292792,0.050728812721667516,0.3500295478639165,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
29.052250893662816,0.17800346049268334,0.028121474778047828,0.32788544620731885,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
29.544661925758795,0.15497987220828247,0.004857575457093644,0.3051021689594713,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
30.037072957854775,0.13130854719827634,-0.019057133827328765,0.28167422822388144,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
30.529483989950755,0.10698961722135159,-0.043616842900297215,0.2575960773430004,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
31.021895022046735,0.08202321403619572,-0.06881583583541584,0.23286226390780723,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
31.514306054142715,0.056409469401495826,-0.09464865711713011,0.20746759592012176,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
32.006717086238694,0.03014851507593841,-0.12111029116409855,0.18140732131597537,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
32.499128118334674,0.003240482818210544,-0.1481963557658138,0.1546773214022349,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
32.991539150430654,-0.024314495613000475,-0.17590331031138962,0.12727431908538867,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
33.483950182526634,-0.052516288308977366,-0.20422867983289128,0.09919610321493655,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
33.976361214622614,-0.08135624028512811,-0.23316373064260176,0.07045125007234554,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
34.46877224671859,-0.1107942271733302,-0.2626730451362025,0.041084590789542075,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
34.96118327881457,-0.14078286325667055,-0.292715499076009,0.011149772562668026,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
35.45359431091055,-0.17127476281823717,-0.3232503868122585,-0.019299138824215856,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
35.94600534300653,-0.20222254014111707,-0.3542371652513592,-0.05020791503087507,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
36.43841637510251,-0.23357880950839782,-0.3856352183086116,-0.08152240070818417,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
36.93082740719849,-0.26529618520316667,-0.41740364148270004,-0.1131887289236333,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
37.42323843929447,-0.29732728150851107,-0.4495010467598217,-0.1451535162572004,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
37.91564947139045,-0.3296247127075189,-0.4818853885197103,-0.17736403689532754,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
38.40806050348643,-0.36214109308327647,-0.5145138114449113,-0.20976837472164167,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
38.90047153558241,-0.39482903691887206,-0.547342521609834,-0.24231555222791012,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
39.39288256767839,-0.42764115849739315,-0.5803266819402899,-0.2749556350544964,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
39.88529359977437,-0.4605300721019261,-0.6134203330930388,-0.3076398111108134,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
40.37770463187035,-0.49344839201555946,-0.6465763405264875,-0.3403204435046314,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
40.87011566396633,-0.5263487325213798,-0.6797463681480895,-0.3729510968946701,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
41.36252669606231,-0.5591837079024753,-0.7128808784705203,-0.4054865373344303,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
41.85493772815829,-0.5919059324419325,-0.7459291587324208,-0.4378827061514441,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
42.34734876025427,-0.624468020422839,-0.7788393719872371,-0.4700966688584409,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
42.83975979235025,-0.6568225861282828,-0.8115586317792616,-0.502086540477304,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
43.33217082444623,-0.6889222438413511,-0.844033098746594,-0.5338113889361082,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
43.82458185654221,-0.7207196078451303,-0.8762080973438078,-0.5652311183464529,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
44.31699288863819,-0.7521672924227092,-0.9080282508788711,-0.5963063339665473,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
44.80940392073417,-0.783217911857174,-0.9394376332143259,-0.6269981905000221,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
45.30181495283015,-0.813824080431613,-0.9703799357868568,-0.6572682250763693,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
45.79422598492613,-0.8439384124291125,-1.0007986490391627,-0.6870781758190623,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
46.28663701702211,-0.8735135221327612,-1.0306372579153031,-0.7163897863502193,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
46.77904804911809,-0.9025020238256465,-1.059839451724014,-0.745164595927279,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
47.271459081214076,-0.9308565317908546,-1.0883493494014453,-0.7733637141802638,NHL,Shot Distance,2014-2024,32.557641192199995,98.412397593,all_shots
