x_value,fitted_effect,lower_ci,upper_ci,sport,effect_label,season_window
15.57788944723618,1.408728826149011,1.3125096344063139,1.497227887716569,NHL,Shot Distance,2014-2024
16.08040201005025,1.3915233206187905,1.2949868963271964,1.4782174827984806,NHL,Shot Distance,2014-2024
16.58291457286432,1.376409593506573,1.2799629706197149,1.4618147651735307,NHL,Shot Distance,2014-2024
17.08542713567839,1.363213556340194,1.2672400803784087,1.447817657640961,NHL,Shot Distance,2014-2024
17.587939698492463,1.35176112064749,1.256620448697817,1.4360204631544653,NHL,Shot Distance,2014-2024
18.09045226130653,1.3418781979562975,1.2479062986724794,1.4262174846677365,NHL,Shot Distance,2014-2024
18.5929648241206,1.3333906997944518,1.2408998533969355,1.4182030251344668,NHL,Shot Distance,2014-2024
19.09547738693467,1.3261245376897892,1.2354033359657255,1.41177138750835,NHL,Shot Distance,2014-2024
19.597989949748744,1.3199056231701456,1.2312189694733882,1.4067168747430792,NHL,Shot Distance,2014-2024
20.100502512562812,1.3145598677633576,1.2281489770144631,1.4028337897923469,NHL,Shot Distance,2014-2024
20.60301507537688,1.3099131829972612,1.22599558168349,1.3999999774715706,NHL,Shot Distance,2014-2024
21.105527638190953,1.3057914803996926,1.2245610065750083,1.3982715916116932,NHL,Shot Distance,2014-2024
21.608040201005025,1.3020206714984872,1.2236474747835577,1.3970707252142451,NHL,Shot Distance,2014-2024
22.110552763819094,1.2984266678214813,1.2229361894248731,1.3961918493386054,NHL,Shot Distance,2014-2024
22.613065326633162,1.2948353808965116,1.2171508683609173,1.3954294350441534,NHL,Shot Distance,2014-2024
23.115577889447234,1.2910727222514136,1.2109993155763186,1.3945779533902694,NHL,Shot Distance,2014-2024
23.618090452261306,1.2869646034140234,1.2045281914783572,1.393431875436333,NHL,Shot Distance,2014-2024
24.120603015075375,1.2823369359121775,1.197583063600728,1.391785672241724,NHL,Shot Distance,2014-2024
24.623115577889443,1.2770156312737115,1.1900094994771224,1.389433814865822,NHL,Shot Distance,2014-2024
25.125628140703515,1.2708266010264615,1.1816530666412357,1.3861707743680072,NHL,Shot Distance,2014-2024
25.628140703517587,1.263595756698264,1.172359332626761,1.3817910218076588,NHL,Shot Distance,2014-2024
26.130653266331656,1.2551490098169547,1.1619738649673905,1.376089028244157,NHL,Shot Distance,2014-2024
26.633165829145725,1.24531227191037,1.1503422311968194,1.3688592647368807,NHL,Shot Distance,2014-2024
27.135678391959797,1.2339114545063454,1.13730999884874,1.3598962023452106,NHL,Shot Distance,2014-2024
27.63819095477387,1.2207724691327178,1.1227227354568463,1.3489943121285264,NHL,Shot Distance,2014-2024
28.140703517587937,1.2057212273173223,1.1064260085548314,1.3359480651462075,NHL,Shot Distance,2014-2024
28.643216080402006,1.188583640587996,1.0882653856763895,1.3205519324576338,NHL,Shot Distance,2014-2024
29.145728643216078,1.1691984886238833,1.0680982348497874,1.3026147510359414,NHL,Shot Distance,2014-2024
29.64824120603015,1.147579855861292,1.0459426840124741,1.2821410668541113,NHL,Shot Distance,2014-2024
30.15075376884422,1.1238684689728218,1.0219329959674535,1.2592768083883934,NHL,Shot Distance,2014-2024
30.653266331658287,1.0982078665593753,0.9962060121433551,1.2341710433320512,NHL,Shot Distance,2014-2024
31.15577889447236,1.0707415872218573,0.9688985739688083,1.2069728393783474,NHL,Shot Distance,2014-2024
31.65829145728643,1.0416131695611726,0.9401475228724431,1.1778312642205464,NHL,Shot Distance,2014-2024
32.1608040201005,1.010966152178224,0.9100897002828885,1.1468953855519108,NHL,Shot Distance,2014-2024
32.66331658291457,0.978944073673917,0.8788619476287745,1.1143142710657041,NHL,Shot Distance,2014-2024
33.16582914572864,0.9456904726491548,0.8460867055154232,1.0802369884551903,NHL,Shot Distance,2014-2024
33.66834170854271,0.9113488877048415,0.8113727898923051,1.0448126054136315,NHL,Shot Distance,2014-2024
34.17085427135678,0.8760628574418816,0.7758541261000026,1.0081901896342924,NHL,Shot Distance,2014-2024
34.67336683417085,0.8399759204611792,0.7396850554453501,0.970518808810436,NHL,Shot Distance,2014-2024
35.175879396984925,0.8032316153636381,0.7030199192351814,0.9319475306353248,NHL,Shot Distance,2014-2024
35.678391959798994,0.7659734807501626,0.666013058776332,0.8926254228022237,NHL,Shot Distance,2014-2024
36.18090452261306,0.7283450552216575,0.6288188153756359,0.8527015530043951,NHL,Shot Distance,2014-2024
36.68341708542713,0.6904898773790258,0.591591530339928,0.8123249889351026,NHL,Shot Distance,2014-2024
37.1859296482412,0.6525514858231722,0.5544855449760421,0.77164479828761,NHL,Shot Distance,2014-2024
37.688442211055275,0.6146734191549998,0.517655200590813,0.7308100487551796,NHL,Shot Distance,2014-2024
38.19095477386934,0.5769992159754147,0.4812548384910758,0.6899698080310762,NHL,Shot Distance,2014-2024
38.69346733668341,0.5396724148853194,0.44543879998366526,0.649273143808562,NHL,Shot Distance,2014-2024
39.19597989949749,0.5028365544856181,0.41036142637541406,0.6088691237809005,NHL,Shot Distance,2014-2024
39.698492462311556,0.46663517337721583,0.3761770589731589,0.5689068156413561,NHL,Shot Distance,2014-2024
40.201005025125625,0.4312118101610163,0.3430400390837333,0.5295352870831918,NHL,Shot Distance,2014-2024
40.70351758793969,0.39671000343792384,0.3111047080139722,0.49090360579967035,NHL,Shot Distance,2014-2024
41.20603015075376,0.3632732918088415,0.2805254070707097,0.45316083948405506,NHL,Shot Distance,2014-2024
41.70854271356784,0.33104521387467445,0.2514564775607799,0.41645605582960976,NHL,Shot Distance,2014-2024
42.211055276381906,0.3001693082363266,0.22405226079101875,0.3809383225295984,NHL,Shot Distance,2014-2024
42.713567839195974,0.2707891134947018,0.1984670980682599,0.34675670727728386,NHL,Shot Distance,2014-2024
43.21608040201005,0.24302217432510753,0.1748218788286394,0.31403705962522027,NHL,Shot Distance,2014-2024
43.71859296482412,0.21685812883680722,0.15307288813205444,0.28279098117842194,NHL,Shot Distance,2014-2024
44.22110552763819,0.19224733958824913,0.13312586689713468,0.25299499206635373,NHL,Shot Distance,2014-2024
44.723618090452256,0.16914015862529697,0.11488654251374733,0.2246256030284919,NHL,Shot Distance,2014-2024
45.226130653266324,0.14748693799381485,0.09826064237176134,0.19765932480431334,NHL,Shot Distance,2014-2024
45.7286432160804,0.12723802973966736,0.08315389386104491,0.1720726681332947,NHL,Shot Distance,2014-2024
46.23115577889447,0.10834378590871951,0.06947202437146642,0.14784214375491303,NHL,Shot Distance,2014-2024
46.73366834170854,0.09075455854683412,0.057120761292894104,0.12494426240864479,NHL,Shot Distance,2014-2024
47.23618090452261,0.07442069969987619,0.046005832015196216,0.10335553483396713,NHL,Shot Distance,2014-2024
47.73869346733668,0.059292561413709866,0.036032963928241235,0.08305247177035673,NHL,Shot Distance,2014-2024
48.24120603015075,0.04532049573419927,0.02710788442189772,0.06401158395729041,NHL,Shot Distance,2014-2024
48.74371859296482,0.03245485470720855,0.019136320886033585,0.046209382134245094,NHL,Shot Distance,2014-2024
49.24623115577889,0.020645990378602708,0.012024000710516647,0.029622377040697045,NHL,Shot Distance,2014-2024
49.74874371859296,0.009844254794245,0.005676651285216205,0.014227079416122458,NHL,Shot Distance,2014-2024
50.25125628140703,0.0,0.0,0.0,NHL,Shot Distance,2014-2024
50.7537688442211,-0.008936421958267715,-0.01308235046819516,-0.005100225755263687,NHL,Shot Distance,2014-2024
51.256281407035175,-0.017014659034694457,-0.02504346124898581,-0.009718298590706153,NHL,Shot Distance,2014-2024
